provider,type,corridor_from,corridor_to,commission_amount,commission_currency,fx_margin_percent,total_cost_percent,speed_display,speed_hours_approx,affiliate_status,data_source
Western Union,MTO,IE,KE,1.9,EUR,2.8,3.86,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,CM,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,CM,0,GBP,1.8,1.8,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,CM,0.99,GBP,2.9,3.72,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,FR,CM,1.63,EUR,0,0.91,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,FR,CM,0,EUR,1.9,1.9,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,FR,CM,0.9,EUR,2.5,3.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,LR,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,LR,0,USD,2.5,2.5,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,LR,1.99,USD,3.5,4.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,SL,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,SL,0,USD,2.4,2.4,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,SL,1.99,USD,3.4,4.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,GM,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,GM,0,USD,2.2,2.2,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,GM,1.99,USD,3.2,4.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,GM,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,GM,0,GBP,2.3,2.3,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,IT,NG,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,IT,NG,0,EUR,1.5,1.5,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,IT,NG,1.9,EUR,2.8,3.86,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DE,CM,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DE,CM,1.9,EUR,2.6,3.66,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NL,GH,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,NL,GH,0,EUR,1.6,1.6,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,NL,GH,1.9,EUR,2.7,3.76,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NL,SN,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,NL,SN,1.99,EUR,1.3,2.41,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,NL,SN,0.9,EUR,1.8,2.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,JM,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,JM,0,USD,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,JM,0,USD,1.4,1.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,JM,1.99,USD,2.6,3.6,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,HT,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,HT,0,USD,2.5,2.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,HT,1.99,USD,3.2,4.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,NG,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,CA,NG,0,CAD,1.5,1.5,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,NG,4.99,CAD,0.9,2.75,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CA,NG,5,CAD,2.5,4.35,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,ZA,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,ZA,0,GBP,1.7,1.7,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,ZA,0,GBP,1.3,1.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,ZA,0.99,GBP,2.8,3.62,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,ZA,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,AU,ZA,2.99,AUD,1.8,2.83,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,ZA,5,AUD,3.2,4.89,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,BB,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,BB,0,USD,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,BB,1.99,USD,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,BB,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,BB,4.99,CAD,1.3,3.16,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,GB,BB,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,BB,0.99,GBP,2.4,3.22,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,BS,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,BS,1.99,USD,2.7,3.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,CW,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,CW,1.99,USD,2.9,3.9,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NL,CW,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,PT,ST,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,PT,ST,1.9,EUR,2.5,3.56,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,VE,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,ES,VE,1.9,EUR,3.5,4.56,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,ES,VE,2.9,EUR,2,3.61,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,VE,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,VE,0,USD,3,3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,VE,1.99,USD,3.8,4.8,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CO,ES,0,COP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,CO,ES,15000,COP,2,3.5,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,PE,ES,0,PEN,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,PE,ES,10,PEN,2.5,4,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AR,IT,0,ARS,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,AR,IT,500,ARS,2.5,3.5,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,BR,PT,0,BRL,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,BR,PT,15,BRL,2,3,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,PL,GB,0,PLN,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,PL,GB,5,PLN,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,RO,IT,0,RON,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,RO,IT,10,RON,2,3,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,UA,PL,0,UAH,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,UA,PL,50,UAH,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,MY,ID,0,MYR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,MY,ID,0,MYR,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,MY,ID,5,MYR,2.2,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,SG,ID,2.5,SGD,0.5,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,SG,ID,0,SGD,1.9,1.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SG,ID,3.5,SGD,2.4,3.8,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,TH,KH,0,THB,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,TH,KH,50,THB,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,KR,VN,3000,KRW,0.5,1.7,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,KR,VN,0,KRW,2.4,2.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,KR,VN,3500,KRW,2.8,4.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,JP,VN,400,JPY,0,1.4,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,JP,VN,0,JPY,2.7,2.7,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,JP,VN,500,JPY,3.2,4.25,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,TW,PH,0,TWD,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,TW,PH,0,TWD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,TW,PH,20,TWD,2.6,4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,TW,VN,0,TWD,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,TW,VN,0,TWD,2.3,2.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,TW,VN,20,TWD,2.8,4.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,BN,PH,0,BND,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,BN,PH,3,BND,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,BN,MY,0,BND,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,BN,MY,3,BND,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,KH,TH,0,KHR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,KH,TH,2000,KHR,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,MM,TH,0,MMK,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,MM,TH,3000,MMK,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,LA,TH,0,LAK,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,LA,TH,20000,LAK,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,TJ,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,TJ,1.99,USD,2.8,3.8,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,US,TJ,2.9,USD,0,1.45,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,RU,GE,0,RUB,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,RU,GE,150,RUB,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,RU,UZ,0,RUB,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,RU,UZ,150,RUB,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,KZ,RU,0,KZT,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,KZ,RU,500,KZT,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,KZ,UZ,0,KZT,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,KZ,UZ,500,KZT,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,UZ,RU,0,UZS,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,UZ,RU,5000,UZS,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AZ,TR,0,AZN,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AZ,TR,5,AZN,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AM,RU,0,AMD,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AM,RU,500,AMD,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GE,TR,0,GEL,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GE,TR,5,GEL,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,MD,RO,0,MDL,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,MD,RO,50,MDL,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,UA,IT,0,UAH,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,UA,IT,50,UAH,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,BY,PL,0,BYN,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,BY,PL,5,BYN,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,FJ,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,FJ,1.99,USD,3.2,4.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,TO,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,TO,1.99,USD,3.5,4.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,TO,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,TO,5,AUD,3.8,5.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NZ,TO,3,NZD,0,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,NZ,TO,5,NZD,3.5,5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,WS,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,WS,1.99,USD,3.3,4.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,WS,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,WS,5,AUD,3.6,5.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NZ,WS,3,NZD,0,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,NZ,WS,5,NZD,3.2,4.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,VU,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,VU,1.99,USD,3.4,4.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,VU,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,VU,5,AUD,3.5,5.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NZ,VU,3,NZD,0,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,NZ,VU,5,NZD,3,4.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,PG,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,PG,1.99,USD,3.5,4.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,PG,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,PG,5,AUD,3.6,5.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,SB,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,SB,1.99,USD,3.6,4.6,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,SB,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,SB,5,AUD,3.8,5.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ZA,ZW,0,ZAR,1,1,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Mukuru,MTO,ZA,ZW,25,ZAR,2.5,3.5,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,ZA,ZW,20,ZAR,3,4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ZA,MZ,0,ZAR,1.2,1.2,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Mukuru,MTO,ZA,MZ,25,ZAR,2.8,3.9,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,ZA,MZ,20,ZAR,3.2,4.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ZA,LS,0,ZAR,1,1,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,ZA,LS,15,ZAR,2.5,3.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ZA,SZ,0,ZAR,1,1,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,ZA,SZ,15,ZAR,2.5,3.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ZA,BW,0,ZAR,1.1,1.1,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,ZA,BW,20,ZAR,2.8,3.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ZA,NA,0,ZAR,1,1,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,ZA,NA,20,ZAR,2.6,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,SA,JO,0,SAR,0.55,0.55,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SA,JO,15,SAR,1.5,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,SA,LB,0,SAR,0.6,0.6,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SA,LB,15,SAR,1.8,3.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AE,LK,7,AED,0.65,1.6,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AE,LK,5,AED,1.8,2.48,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AE,LK,7.88,AED,1.2,2.27,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,LK,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,LK,0,USD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,LK,1.99,USD,2.7,3.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,LK,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,LK,0,GBP,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,LK,0.99,GBP,2.5,3.32,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,NP,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,NP,0,USD,2.3,2.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,NP,1.99,USD,3,4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,NP,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,NP,0,GBP,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,NP,0.99,GBP,2.9,3.72,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,NP,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AU,NP,0,AUD,2.4,2.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,NP,5,AUD,3.3,5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,MU,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,MU,0.99,GBP,2.6,3.42,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,FR,MU,1.63,EUR,0,0.91,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,FR,MU,0.9,EUR,2.4,3.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DE,KE,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,DE,KE,0,EUR,1.2,1.2,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DE,KE,1.9,EUR,2.7,3.76,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DE,TZ,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,DE,TZ,0,EUR,1.7,1.7,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DE,TZ,1.9,EUR,2.9,3.96,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
